FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
15910,4053,144,242,220,123,75304,20761,166,187,395,419,13,352
19636,9994,187,139,272,237,73797,31464,84,1,295,182,15,352
54894,6825,14,219,350,0,134524,13499,0,284,287,0,27,353
720295,286310,8740,3472,31421,5273,1131867,452646,8219,3035,29950,4151,49,355
19911,9811,284,60,439,421,78278,54187,369,2,531,617,15,355
51122,6961,220,27,140,95,107769,10410,159,0,124,275,33,357
800082,242240,10190,3859,37695,11025,1105514,333742,9120,3364,32552,9110,71,358
1017392,199107,15605,6399,62097,14709,1215703,290361,13494,5200,55544,13237,59,359
1108010,596777,16572,6263,51491,11244,1374996,826668,13986,5037,39759,7744,69,359
141453,10333,534,416,522,382,272564,18171,226,220,508,258,44,359
1061938,172277,13319,5742,79993,22562,1625691,252053,12053,5253,74283,19521,64,360
400676,75770,5169,2265,16724,3890,695508,118849,5081,2081,17770,3993,43,360
17617,3371,151,140,485,231,70566,18667,201,119,391,574,14,360
936010,140211,11706,4522,47504,17811,1504185,224713,10930,4256,47008,19103,51,363
26390,4769,160,224,735,970,96552,25269,161,241,1129,1994,15,363
1282108,282785,19247,8183,68839,21764,1756320,403827,17603,7122,62271,19820,67,364
112556,5540,563,77,776,0,138305,5777,360,35,810,371,54,364
571899,55811,8023,3324,27940,5961,888879,83053,7484,2669,29013,4905,54,365
864442,225250,12128,4493,38631,10974,1434803,378428,11752,4311,38685,11042,45,365
17042,7845,160,231,647,690,79688,46812,141,177,1069,1380,13,365
1081577,371415,16899,5713,59020,16353,1508633,547226,15280,5228,54256,15531,65,366
1005876,379479,13227,5156,52311,13104,1325398,549787,11331,4304,44584,12366,57,366
1156440,401397,16094,6354,145657,40665,1738951,599668,14850,5532,131397,37050,65,367
14247,5387,294,181,385,429,56576,31340,393,88,1799,2016,13,367
1320188,369676,16421,6418,62176,18834,1847536,526030,14072,5608,53850,14174,57,367
30227,3429,177,51,201,239,112304,8316,93,35,198,206,19,367
1120094,357003,13249,4974,60895,18041,1820309,585707,12726,4595,59832,20476,47,367
17390,8005,261,172,366,410,90456,39961,286,84,463,1001,13,367
1200945,296754,14679,6063,73355,18530,1591789,429084,13537,5407,70828,16140,58,368
43085,5494,273,157,31,58,74474,11716,160,115,127,178,31,369
200311,22275,7557,2819,5871,1089,359680,35166,7386,2759,6031,933,45,370
84971,13792,63,351,164,29,101076,17914,27,234,126,147,50,370
1205839,267598,17357,7042,62264,13837,1473849,344937,14699,5639,52395,13021,71,370
14079,1367,74,125,529,83,73024,8756,0,0,512,129,12,371
25984,2919,169,75,43,1,127716,10976,62,0,0,0,14,371
45604,20701,377,83,458,63,117620,40561,225,0,545,161,29,371
728129,67783,193,365,374,614,1049498,98241,118,163,299,470,53,371
101742,9919,135,0,0,7,183663,16911,36,9,99,223,45,373
893451,128958,10035,3610,32765,12496,1573154,213909,9549,3257,33157,14259,45,374
23640,3072,254,98,380,926,98090,18186,272,0,1245,1889,15,374
1189176,364224,17292,6978,66022,19950,1440009,526381,14070,5778,55385,16095,63,375
109104,15202,415,56,0,2036,190304,25537,270,42,0,1649,42,376
1617156,128090,17520,6348,62533,20784,2612422,203427,17176,6108,65178,20237,54,376
536963,174369,8032,3207,18019,3147,803718,245007,7106,2657,17652,2919,51,376
1144518,415613,16670,6657,95249,28762,1601316,593927,15304,5745,87185,27311,59,377
69781,10538,220,81,12,234,148881,18696,165,124,163,218,46,378
1603824,507986,17398,6736,53064,11897,2603496,836316,17715,6771,53334,11495,57,379
1252948,202016,17421,6816,74742,24202,1901419,281798,16037,5931,66878,27822,69,379
916405,118874,11282,4424,49530,12940,1383308,174232,10470,4247,46975,16511,66,380
762314,185258,10276,3968,32278,7346,1098268,282653,9401,3537,29219,7237,53,381
15380,426,175,168,403,254,87930,1730,70,40,229,468,12,381
1367841,851749,19072,7325,65443,17429,1940561,1294151,16800,6654,58464,16880,68,382
976387,340839,12158,4693,43422,11137,1322899,511029,11145,4161,41495,8884,56,382
299788,254676,494,115,253,114,510966,413380,303,28,261,243,47,382
1154827,276553,16006,6355,56055,16329,1804051,428066,15447,5769,55180,14697,65,382
53764,7292,175,228,226,100,117524,13153,161,198,544,744,36,385
1183390,337817,18813,7236,68213,17607,1403903,483118,15777,6037,55927,17866,68,386
68266,9450,315,246,729,80,141451,17524,256,185,564,362,33,387
1005874,224674,12727,4118,28023,10637,1884843,361314,12380,4462,29236,14601,65,388
27839,2469,181,171,331,186,91459,6564,122,72,363,154,19,388
1486731,151659,13669,5487,55050,14072,2615853,227537,12905,4968,50336,14525,68,389
19994,6938,242,112,575,121,69492,21417,188,17,483,210,15,389
871807,104539,544,51,317,316,1047610,129270,263,170,341,529,73,390
1299239,220007,14655,5707,55335,12204,2145237,355350,13787,5349,53769,11426,49,391
22610,5156,264,266,572,651,90959,29443,424,197,1395,2012,14,391
47548,2533,229,209,169,146,132149,5233,181,123,185,173,31,392
25295,8786,14,153,154,160,111980,26794,0,94,0,213,15,392
62428,14675,157,321,21,305,116385,25658,48,227,11,198,35,392
57660,14859,193,201,821,333,158022,31571,126,123,658,216,27,393
42877,4620,119,42,453,98,132791,11846,53,0,449,3,21,393
64459,5745,194,303,0,284,133195,10650,110,161,0,388,35,394
1154175,237696,16712,6146,65939,22400,1605789,336423,15239,5864,60876,19367,55,395
18828,8094,297,193,729,648,71660,44137,533,210,1507,1617,14,395
995275,244261,14060,5524,51601,16327,1436130,367162,12472,4491,48769,13434,70,397
702011,173027,10880,4624,39001,10947,1060571,284411,10119,3880,36621,10399,56,398
710044,150699,5938,2786,62831,18394,1150062,235066,5610,2197,61215,17934,60,399
1087105,209393,12374,4369,30929,10518,1289624,213635,7112,2543,19868,8303,65,399
23005,7140,312,256,702,432,82621,38609,487,216,1225,811,16,399
817696,159464,9721,4056,39013,9913,1342304,257887,9575,3488,37324,9334,50,400
24140,4951,160,218,569,585,100482,25519,115,130,580,1495,15,400
838370,166810,9062,3818,35556,11418,1459994,259324,8885,3400,37915,12074,59,400
1040773,319301,10130,3696,41233,11591,1885821,492144,9796,3376,38867,10647,62,400
950908,170230,11431,4880,45607,13462,1696074,250900,10830,4532,43456,12420,67,400
74505,18298,242,172,1278,3544,164918,33532,191,181,1029,3379,33,401
1627927,218442,20409,8301,75537,21477,2427327,323117,18733,7743,68111,18624,68,401
57998,33256,206,175,112,267,151627,67865,179,85,55,456,29,401
1384720,168571,15000,5890,54061,16198,2105861,264978,14049,5524,50184,18444,56,402
18019,7494,113,187,543,115,68976,19334,9,46,379,0,16,402
62396,3953,258,16,568,666,179424,8277,120,0,370,968,27,403
641075,151277,7536,2643,30380,8515,1063130,244669,7199,2561,29825,8929,49,404
750006,114333,6370,2898,44953,15381,1380499,181951,6383,2575,45474,17778,43,404
35810,6436,290,325,1679,456,137308,35517,501,262,4376,1764,16,404
23647,2621,181,171,561,199,55856,5173,92,106,147,97,13,404
113992,15634,31,306,785,131,203794,26817,64,188,620,121,45,405
29639,2587,147,389,413,160,89424,6596,80,276,343,131,25,405
1242670,126894,11858,4889,47237,13005,2393463,190817,11007,4354,47481,13699,65,406
1494612,386539,17542,6966,56503,13129,2134847,559039,15614,6123,50241,10595,61,407
784072,107563,11209,4412,41646,8871,1277526,150848,9975,3974,40135,8850,58,407
23517,2692,144,80,561,0,108844,9065,18,0,561,0,14,409
1072740,203218,10184,4419,40004,12537,2180931,358939,10646,4710,43649,13520,41,409
37240,12926,494,193,586,898,146505,65410,823,104,1192,1006,19,409
16976,5636,199,115,291,106,95556,24850,202,0,245,0,12,409
41082,2571,471,146,0,162,80058,4243,291,39,104,155,34,409
18962,946,197,104,291,199,103773,4142,109,0,9,218,12,409
44075,3128,154,89,466,38,92843,4482,147,59,284,68,34,409
758103,103067,11322,4709,37705,10290,1181686,136403,10718,4269,36217,10330,68,410
712789,263002,10774,4106,36910,8295,948284,389031,9583,3548,31445,7940,61,410
1010093,91857,9359,3622,34410,12701,1838917,150573,9402,3805,34805,9794,64,411
230655,9067,199,116,931,0,198016,7982,191,128,397,533,86,411
672947,304518,9130,3439,24736,5884,1073675,498125,8435,2925,22721,6356,51,412
21117,1535,74,172,237,0,79585,4496,0,96,0,95,17,413
1201926,413140,23396,8669,80306,16224,1943039,693172,23378,8469,78623,19507,50,414
24148,9069,242,204,569,518,104491,54020,547,202,841,1639,14,414
736616,186822,9449,3174,34230,9479,1276021,299858,8814,2718,36240,10470,51,414
41072,11363,215,160,1090,733,152503,60201,395,326,1966,1221,18,414
15561,1266,230,60,212,41,79551,4573,158,0,0,59,12,415
528689,58677,5559,2275,13031,2357,1055014,102075,6146,2250,12898,2118,42,415
114272,90131,2403,834,1576,398,161521,117000,1758,640,1115,436,50,417
1509018,278972,13279,5396,41334,10883,2547721,455273,13478,5635,43745,11752,58,417
1430693,378147,22094,9510,125798,39719,2077779,549326,19651,7996,113556,36918,68,419
747056,164688,9627,3275,27123,8136,1332250,256787,8950,3072,27479,8879,61,419
42472,3453,120,159,205,18,157870,8438,17,126,0,105,22,419
37996,15011,72,213,214,285,76120,26812,54,217,165,358,33,419
55521,2480,162,134,466,0,112762,4526,127,66,558,79,32,421
1039113,242322,11072,4427,45016,10029,1805163,383213,10587,4056,45464,12484,58,421
1183122,192172,12234,4737,50769,15612,1991730,283264,12086,4463,47893,13953,66,421
805018,143573,9188,3366,35786,9577,1164431,213439,8689,3248,33141,7751,58,422
1099668,130292,9374,3712,35063,9640,1862208,204807,8916,3668,37214,8222,55,423
1411351,193175,13258,4945,48666,12179,2464228,300031,12332,4602,48521,11898,65,423
1380052,390997,21456,8463,87190,29861,2272221,596886,20562,8398,84710,27998,74,423
833784,814209,12438,4760,40458,7547,1064805,1297405,11072,4298,34773,5725,53,423
19744,12906,95,48,518,506,77411,77268,89,0,790,936,14,423
1351376,669690,21223,8736,65855,17775,1723778,1027983,17431,7013,49033,15837,58,424
27208,16915,177,266,503,788,102406,95425,216,252,662,1030,16,424
1159278,291782,17719,6505,58912,15685,1399290,397006,15956,5326,50511,16055,67,425
1428367,822664,17652,6518,76938,18187,2522886,1287187,16781,6222,77539,19504,66,425
174003,21936,254,228,652,171,226871,32746,185,166,492,337,49,425
13944,7523,151,181,491,182,65459,30498,33,111,517,236,12,426
1220162,375986,17731,6822,52482,14100,1728026,579149,15435,5919,49805,14856,57,426
29821,11226,303,257,629,872,119349,61710,323,159,1499,1930,16,426
575471,124334,7362,2862,23086,6603,932770,194843,6506,2580,21229,7320,58,426
645576,75718,19421,9495,25460,475,1041116,104346,19082,9541,26280,1741,51,428
116475,27040,305,140,173,348,239139,54817,198,78,61,390,29,428
35369,7800,202,68,676,166,85484,14199,87,0,633,296,32,429
1127331,256718,11310,4860,135272,38276,1721498,395258,11671,4912,133864,40952,57,429
1813932,334712,18444,7290,79583,26238,2787128,543178,17485,7147,78830,27402,63,430
26091,6659,72,160,217,0,79787,18395,0,77,13,0,18,431
82194,11242,270,139,261,260,181351,21008,174,37,282,366,35,431
45350,8359,299,18,341,381,95652,15561,196,34,319,466,31,432
785844,186399,9898,3730,38764,12655,1056768,274412,8365,3427,34286,13252,64,432
1266295,486721,16951,6743,57983,11255,2027683,735120,16253,6062,57156,10710,67,432
40404,3242,358,131,489,103,100817,6347,180,37,437,39,32,433
740641,88389,11096,4469,39254,11252,1149836,119783,10551,4010,36391,13498,61,435
1223873,480292,18183,7740,119445,32428,1948597,805142,17836,7122,115817,33554,51,435
52606,24660,459,265,1931,2131,204167,130675,880,496,5979,4932,19,435
19129,3080,227,181,388,16,100607,11395,202,91,272,0,12,435
1257404,524250,21601,7868,72145,18525,1368350,724997,17099,6675,57928,17022,65,435
23196,3080,361,143,406,111,82578,8024,201,14,475,95,12,438
18855,2644,285,104,314,367,59627,6780,229,0,254,546,18,439
1064485,279612,10091,4242,31057,10316,2074584,443806,9889,4254,30271,9849,63,440
423389,61235,6231,2743,16063,3362,772809,99271,6658,2593,17490,5044,40,440
22483,2867,302,243,478,347,129981,17987,508,215,461,497,12,440
1213304,364362,11487,4260,32352,9242,2119813,601524,11232,4330,33887,9919,59,440
916685,458936,12852,4865,44088,13112,1334704,666706,11759,4335,39832,13363,71,441
1305071,362204,19845,7416,66194,17081,1564539,452776,16441,6260,54445,13806,64,442
860787,167336,10959,4590,40280,9887,1218496,239062,10347,3762,36474,9247,59,443
991284,128742,9780,3427,40417,10815,1550195,195386,9487,3010,40591,13651,55,444
15736,1280,114,146,336,60,86558,5190,0,0,95,0,12,444
12153,1655,180,133,333,211,52949,5664,83,13,148,214,12,445
1413729,397424,22516,8346,83793,22550,1846480,545147,19447,6983,70865,18243,74,446
19577,2043,61,283,187,342,59818,5704,3,157,139,568,19,446
38573,19304,99,104,20,365,97502,41884,0,0,57,292,26,446
1147408,129549,12352,4728,48121,16147,1819517,197599,11060,4291,48875,17389,65,446
1264731,411684,19384,7566,67220,20944,1567558,586428,17106,6399,56788,22251,70,447
1219566,252659,14395,5077,56647,16392,1810845,390512,13511,4803,55379,18883,59,447
15499,2229,8,177,231,267,58725,6508,0,61,172,441,14,449
843408,176557,13148,5199,48203,11830,1120666,264429,11187,4227,42639,10220,58,449
37654,40147,184,137,295,154,89850,84313,111,31,475,80,28,449
1171345,225578,15423,5930,59062,18439,1660692,318479,13211,5131,51784,16376,75,449
863575,170313,12027,4999,39725,10202,1348917,271240,11405,4585,38557,12087,55,449
1161430,187684,12666,5562,73061,19692,1668222,286110,11873,4947,68926,15276,63,450
1131785,261829,11197,4742,45171,11560,2026697,398891,10646,3917,43692,14484,84,452
1166580,213866,14721,6057,55351,15738,1737655,331400,14364,5627,50407,16829,56,452
21941,13945,69,277,287,26,71345,38953,0,225,183,93,18,453
21584,9528,193,237,419,55,77256,24301,94,200,254,61,20,453
949896,230039,13492,5654,55246,16722,1140786,305359,10770,4614,44054,10855,60,453
19335,2052,29,156,201,325,93345,6944,0,57,229,369,13,453
63439,8140,0,69,111,143,104638,8242,19,89,383,263,50,453
330661,115308,220,548,225,368,348145,178441,137,281,149,279,55,454
680025,122502,9178,3810,32857,10313,1176445,201229,9661,3697,34090,11804,47,455
1800508,508899,21179,8442,101275,32056,2540225,787122,19299,7873,96127,29696,72,455
1196813,264444,12652,4883,46280,8868,1855812,421546,11769,4473,45241,9914,53,455
42712,6656,211,171,175,385,128940,16352,144,58,0,751,20,456
1032499,232641,11804,5127,122770,35536,1662733,337838,11240,4471,113013,34901,69,456
884729,209946,11501,4349,49560,15517,1300611,322760,10229,3954,45950,12863,50,456
29529,8180,153,90,885,737,106322,43788,187,9,1696,1479,16,456
1080374,103298,10267,4572,46861,13126,1990144,154142,9626,4175,45421,14884,64,458
728267,281111,6821,2783,63832,16398,1360219,477536,7308,2702,65510,19111,43,458
34936,14558,440,399,1422,896,128313,76481,505,376,3027,1500,17,458
1070727,153938,11791,5199,39990,11026,2125995,261095,12028,5432,41376,13251,44,459
33103,11292,479,221,1092,1069,101499,51166,1135,414,2744,1683,20,459
1690063,316079,20104,7613,64642,15784,2630375,456035,18835,6809,58810,13279,71,459
23581,5885,188,186,176,0,83219,16461,113,113,228,0,18,459
939026,176989,11337,4683,43936,11818,1458601,271592,10831,4287,43982,12515,55,461
791835,233900,11432,4407,46730,9861,1152526,372998,10505,3851,40812,9970,52,462
19127,7978,249,186,629,713,102150,46992,498,104,839,1304,13,462
56771,21160,84,178,1028,1390,107260,39276,40,91,1079,1400,32,462
25385,12624,177,195,323,78,99107,32912,45,124,60,0,16,464
32223,2266,28,96,555,100,103369,6450,8,25,649,265,19,464
162386,26857,163,133,730,2059,297505,43648,72,130,808,2395,48,464
30791,4272,181,159,300,163,116073,10037,72,53,213,265,19,466
1023363,62109,8840,3366,30835,9376,1829596,93444,8919,3339,32750,10734,52,467
825612,308046,7062,3315,76053,21770,1381980,495622,6624,2914,73120,22041,52,468
1671024,308199,25010,8981,97742,29495,2274494,432911,22359,8055,91273,28661,64,468
1149073,191274,11459,4363,38256,11091,2021916,323505,11808,4430,41219,12615,51,469
13073,860,171,115,381,189,62539,3230,76,0,438,164,12,470
71036,2997,215,180,107,111,119141,3822,126,102,500,333,37,470
65520,3340,312,296,208,228,142671,4175,207,177,388,189,37,470
118573,18367,0,187,0,0,217977,34748,0,161,185,218,38,471
1121857,153858,14865,5801,59608,17240,1892811,243247,15526,5646,56616,17306,48,472
21241,3724,44,193,525,734,79683,21110,328,84,1001,1484,14,472
214841,47707,7852,2996,9510,0,412358,78360,8067,3108,9920,594,47,472
1080713,398089,14512,6151,145917,38398,1515772,576519,13444,5430,134068,43146,57,472
15412,5886,177,181,208,0,61843,18660,49,70,9,0,14,472
53789,2861,159,0,139,172,109177,5550,119,0,307,311,32,472
14815,2096,120,40,217,118,68421,8023,0,0,113,34,12,472
1120883,340839,17125,6740,66340,16844,1330508,498649,14256,5376,53775,14676,69,473
1483928,189762,13902,5102,50492,15429,2356997,300375,14222,5173,49285,16638,63,473
498894,59013,17204,6409,13978,1806,744237,92681,16797,5847,13311,2942,49,473
1346484,416454,16362,5860,58126,13508,1917464,576270,14990,5505,52971,13897,59,473
13720,2354,138,109,86,270,67595,16244,26,0,224,543,12,473
818672,96523,13304,5171,45399,10640,1267098,146967,11274,4842,42936,11327,56,474
773743,123457,11579,4890,37218,8970,1221488,204054,10247,4371,35247,9696,51,474
14929,2724,230,156,338,205,73774,16481,206,20,294,695,13,474
1407195,624583,30921,11466,102023,24884,1971206,966262,29911,11007,94966,24165,65,475
155269,48874,89,107,342,321,328539,90695,71,106,304,220,40,476
63394,43914,102,195,109,80,127005,86610,15,107,224,73,33,477
871958,341286,13536,5527,50846,13907,1222666,481839,11781,4611,46085,12849,71,480
1719367,401602,24534,8759,93011,35485,2499800,606566,24334,8572,88762,35884,63,480
12576,5475,65,186,518,628,59868,24840,108,92,1190,770,12,480
11177,34,153,172,298,13,50979,540,54,54,60,0,12,481
1054327,276949,10661,4152,39893,12930,1749704,457776,10276,3976,41313,13294,53,481
13074,1681,83,71,264,0,57032,8023,0,1,0,0,13,482
1577800,626825,24728,9574,98905,31136,2350216,955585,22766,8396,93865,31932,72,482
18093,1218,147,84,630,413,98966,4566,6,0,708,551,12,482
1190399,212089,18688,6998,74880,20054,1303383,278240,14475,5871,54550,17130,73,483
253908,44345,4403,1869,10486,2516,536562,78482,4454,1975,11552,3831,36,485
1245415,165302,20368,7972,71914,22221,1527959,207614,17613,6494,63308,17542,65,485
10746,108,123,98,275,230,50206,559,10,0,5,240,12,486
56585,5216,22,0,0,54,151754,9866,25,0,154,148,33,486
962245,234563,13983,5034,44056,9311,1317381,368169,12565,4466,40741,8770,53,486
23470,9749,239,107,306,529,90558,52552,198,91,1366,699,17,486
18139,856,53,156,485,75,99199,3254,0,122,430,0,12,486
1027345,378474,13983,5677,45894,10134,1395924,585277,12848,4816,40896,10293,63,488
1378940,320243,16707,6754,81718,20944,1890464,483508,15096,5822,71020,20922,69,488
1020657,128799,9874,4233,28220,8802,1815358,210535,10991,4455,30700,11766,51,489
1131399,180791,13789,5313,52707,17721,1604435,279272,12653,4689,51746,17543,63,490
1148941,275364,11794,4680,39686,12026,2388766,447731,12596,4506,39087,13139,66,490
1276436,254360,13611,5381,53214,13209,2523345,431771,13905,5576,53923,16430,51,490
39711,14189,273,189,863,929,123067,71537,460,99,1345,1526,23,490
627207,134683,10249,3713,31237,10157,1112170,217894,10532,4028,31463,11474,64,491
1182143,286706,12609,4981,97971,30353,1770946,421225,11979,4550,93588,29655,63,492
612587,110873,6362,2486,22537,6140,1126063,179570,5993,2090,23197,7797,54,492
1183008,273440,17485,6392,58055,14121,1574598,391162,15199,5612,51405,13580,56,493
24219,6544,150,168,419,552,100810,37614,44,110,741,769,15,493
57075,7565,53,66,258,115,186909,18425,0,0,311,0,25,493
137013,16204,0,0,131,405,277263,33180,0,44,200,330,30,493
775911,112774,10356,3974,37993,11094,1093465,172966,9493,3784,36639,10722,54,494
1318718,157668,913,1734,1286,984,485206,66040,261,318,811,375,189,495
24376,1779,196,257,226,174,136583,8010,125,215,38,66,12,495
1286870,237568,12901,5096,45283,9972,2356361,393789,13166,5368,48700,8780,54,495
114539,13432,291,296,147,125,219304,24350,146,230,142,397,41,498
773749,228808,10109,3678,37146,8113,1394373,368152,10080,3620,36984,5526,60,501
1324431,261679,20924,8477,92864,26655,1715418,373396,17896,7037,79253,22123,72,502
744978,117378,11078,3963,40240,11367,1051496,150107,9696,3227,36025,10374,56,503
921756,174821,14149,4868,54171,16316,1287984,247371,12369,4410,50534,16708,70,504
702222,81111,7624,3016,28944,8691,1054149,117828,7164,2602,26066,8025,55,505
20037,16356,702,433,522,0,96669,54314,1083,471,644,0,13,506
1233758,275255,17039,7189,112017,34515,1809160,400717,15816,6688,101907,29761,71,507
773125,107168,11989,3819,43649,9700,1068798,136809,10634,3604,40552,10701,65,508
1065634,106498,9761,3896,31331,8993,2117195,175711,10179,4048,30032,9857,44,511
43446,7513,275,251,486,563,169835,37713,556,168,2563,1386,17,511
1056750,658090,16389,6151,51303,13488,1284960,927518,13430,5014,43512,11661,60,512
897271,108978,9474,4069,39644,11900,1559104,158634,8432,3569,39801,12507,72,513
79624,7679,416,57,482,69,150584,14204,305,0,190,85,32,514
1126489,306923,16130,6134,63418,15917,1613160,436343,14705,5356,57097,15795,54,515
16158,3725,220,125,698,498,82865,22838,195,7,886,851,13,515
883468,182771,12527,4349,45512,11340,1326360,250631,11090,3761,41273,12312,64,515
964461,280198,13069,4842,66193,25111,1483583,433068,13206,4575,65854,29415,51,515
16797,4743,154,3,220,566,73977,26008,251,0,822,2055,16,515
779084,4882749,3053,445,884,361,1048044,7609249,2488,410,803,383,55,515
11627,236,110,42,269,135,51739,914,0,0,355,25,12,516
17432,5021,116,204,457,38,66607,16876,0,139,271,128,15,516
1398589,304924,19216,6672,77608,19413,2210884,454364,19010,6482,75888,23994,51,516
20805,5078,156,78,716,248,86341,26520,214,0,1557,1068,13,516
403212,122013,5194,2234,13945,4004,723787,196903,4693,1834,13983,4303,49,516
1139619,130925,14963,5999,53102,15890,1627079,196370,13526,5074,47138,13906,55,517
22351,3493,136,209,579,449,111458,17500,380,140,616,669,14,517
1711704,260012,17786,7248,68060,20301,2839664,423421,17910,7258,66239,18237,64,519
35897,5138,75,51,466,183,82286,10408,44,0,611,349,31,520
209477,47326,0,0,363,162,183945,26515,35,31,694,516,93,520
717430,143345,10553,4013,7688,0,1049030,228216,9073,3604,6946,458,60,520
893664,193050,16944,7321,133840,40344,1409375,305209,17045,7431,128981,40363,63,521
1272709,436723,16768,6477,59772,14084,1582741,609924,14254,5212,49372,14684,72,521
120744,14055,0,195,411,100,231882,25469,0,159,249,103,37,524
1119685,200263,14916,5902,66115,15349,1420293,273230,12925,4817,54179,15271,60,524
342537,382035,113,0,1131,234,730152,651565,88,10,752,288,54,524
849916,430979,13310,5619,49085,14481,1206433,689828,11318,4472,41752,12134,63,524
11741,2110,148,122,474,12,50678,9291,10,0,447,0,13,525
1268111,321592,15292,6083,69347,24351,2089796,502042,14565,5588,64648,25186,51,526
29417,8558,217,221,399,827,120179,49994,490,301,1112,1768,15,526
19381,1809,126,266,247,217,74417,5141,95,205,0,231,16,526
1373253,266867,21435,7863,72136,19009,2446157,440510,21231,7922,70100,19355,56,527
22331,7830,308,198,572,126,83240,40114,391,106,982,472,15,527
468775,43753,5865,2230,12080,4875,817810,68739,5811,2195,12120,5819,58,527
1036223,611793,12079,4998,39467,13402,1560784,979926,10767,4157,34804,12440,64,527
37201,10000,78,218,352,213,90482,22073,64,199,228,548,27,527
19107,6380,53,225,361,155,91294,22101,0,134,263,79,13,527
15799,2571,10,190,303,231,84830,13361,0,107,246,214,12,527
43097,5587,122,233,406,180,137331,12305,59,123,344,237,25,527
829813,215604,10556,4166,40752,13084,1161373,331782,9512,3673,37496,8823,56,528
67987,18101,412,253,485,597,101443,19100,302,172,561,337,49,529
909959,270805,9468,3592,37096,11874,1574766,435922,8827,3335,35988,14634,48,529
23121,6851,208,133,383,648,104577,39403,142,0,306,1071,14,529
1281421,213203,19709,7571,70176,18505,1714210,306120,17038,6317,63480,15921,71,529
754832,235948,9504,3425,28059,7883,1264937,355011,8923,3170,27503,9877,53,530
1367248,186027,18767,6951,78423,25088,1922867,266606,17363,6201,73112,23708,53,531
22762,3537,214,196,626,1157,85118,20987,153,164,595,2149,15,531
38643,19057,157,145,533,0,130509,47946,43,87,443,5,18,531
1360816,363237,17204,6807,62169,16063,1900863,582561,15297,6342,57133,14262,63,532
1045114,246654,9100,3293,25010,6025,1767450,384637,9428,3129,26600,5661,63,532
693856,230485,9108,3277,28608,6038,1083151,358168,8138,2868,29049,5886,50,533
37072,12303,300,131,682,1200,146258,60795,325,111,1330,1847,18,533
12459,45,116,104,342,560,54186,892,0,0,162,754,12,533
1100840,236170,16392,6355,64704,20031,1403347,335595,13761,5074,51156,17027,73,534
25691,15193,151,118,405,0,77116,40061,83,141,258,128,19,534
1008351,156752,11426,4745,46096,15750,1603690,246078,10696,4762,43823,20495,51,535
1325657,167948,19694,7934,71012,17264,1933522,268513,16947,6620,59309,16298,55,536
28650,5222,98,201,626,409,112492,29113,252,91,1066,775,15,536
19814,4322,160,224,120,256,106064,16791,83,165,0,253,12,536
1038250,489346,11582,4227,34288,11724,1647023,752689,11075,3938,31940,12341,50,536
17833,9438,139,127,352,540,78493,55686,117,6,556,765,13,536
382803,60689,12764,5513,12407,937,613752,91373,11721,5323,11911,1249,57,537
12491,824,232,154,331,89,50123,2659,148,18,83,17,13,538
1324805,159715,15003,5619,56958,17582,2546603,250113,15133,5844,57905,18200,71,538
1361705,481280,19375,7551,69782,14544,1691473,631373,16873,6683,61327,14940,76,539
1312637,453504,23967,9052,220088,59017,1969531,649531,21192,8499,192881,52834,72,540
1537164,405789,21575,8840,170691,50587,2211021,630373,20490,8312,161802,50802,69,540
1646287,436904,22490,9324,110367,40049,2185857,644833,19911,7820,98646,33544,65,541
625171,183445,8661,3630,26410,6895,1030057,311827,8711,3614,23825,7909,48,542
881609,105676,9096,3686,37256,12911,1395649,156228,8698,3310,36968,11808,63,543
22823,3953,110,116,497,100,111206,11584,6,29,311,127,13,543
1017074,309056,13847,5683,48966,7710,1492854,472154,12748,4505,44222,9755,77,545
48807,22882,441,307,59,43,123518,46791,251,168,60,0,29,546
1569119,130707,19814,8155,72178,24588,2866586,208041,20196,8284,72448,26631,70,546
491837,72006,10948,4752,11355,696,839359,108678,10168,4490,11580,1848,63,547
1509805,177045,18151,6849,69287,19342,2503808,288063,18169,6722,71525,24198,61,547
377819,62848,5709,2186,16105,4842,691513,108675,5480,1962,16391,6385,40,548
1513410,674206,12822,5095,46579,9197,2608155,1098349,12662,5089,51690,10733,54,548
18047,1661,111,163,493,118,62525,5164,0,90,517,42,15,550
945987,142371,11852,5004,41095,9121,1405409,216927,10647,4460,36646,6151,65,550
712827,182176,7772,3218,46825,14410,1140817,302416,7496,2919,46322,13099,48,550
20010,3953,257,156,605,498,77036,20561,246,122,1124,854,14,550
877769,227658,13395,5337,52640,11823,1263878,361445,11288,4715,45465,11609,71,552
996196,606726,13898,5648,58872,15816,1242304,843781,11156,4628,49972,10948,70,553
668903,107573,10007,3898,32518,10648,1042914,159922,9608,3724,30256,10727,63,553
13147,788,199,43,64,92,61661,3315,235,0,0,0,12,553
902788,267089,9176,3515,34902,10477,1843895,434466,9367,3633,36233,11626,63,555
1294310,365961,17825,6886,59807,16089,1723728,525595,14870,5748,53878,15788,59,556
1485820,295923,17838,6952,75193,23221,2517484,491660,18887,7010,76813,28125,51,558
713893,166307,8709,3551,32095,5433,1108173,259723,8343,3598,30925,6814,56,558
