23881,2224,364,98,734,0,88584,5222,291,0,903,113,18,177;;;;;;;;;;;;;;;;
13120,1589,138,62,98,0,53529,5931,77,0,5,0,14,177;;;;;;;;;;;;;;;;
13839,3664,263,272,289,225,60107,16895,262,209,182,334,13,177;;;;;;;;;;;;;;;;
161942,83540,136,642,688,169,145246,67847,176,223,438,325,77,177;;;;;;;;;;;;;;;;
16359,5282,93,184,377,6,84074,22313,0,69,290,0,12,177;;;;;;;;;;;;;;;;
17090,5313,71,131,477,0,77676,21981,0,0,484,0,13,177;;;;;;;;;;;;;;;;
100885,16937,16,53,142,311,104768,17540,14,67,141,267,58,178;;;;;;;;;;;;;;;;
52262,3679,104,140,0,523,111597,4230,129,106,12,514,34,178;;;;;;;;;;;;;;;;
22299,2224,220,237,430,112,98961,6667,184,156,316,375,14,178;;;;;;;;;;;;;;;;
20414,575,166,107,45,146,73303,2879,141,35,0,309,17,178;;;;;;;;;;;;;;;;
70629,7501,0,224,1037,0,112759,11434,50,95,968,76,39,178;;;;;;;;;;;;;;;;
16099,2292,124,169,297,405,60046,6716,40,117,153,735,15,178;;;;;;;;;;;;;;;;
169424,7116,474,159,907,4,214681,9612,241,139,1140,430,55,178;;;;;;;;;;;;;;;;
90745,7762,116,192,637,288,140692,14062,0,133,767,406,35,179;;;;;;;;;;;;;;;;
1110186,354242,11331,4415,39810,10889,1873615,581889,10859,4191,38364,12451,65,179;;;;;;;;;;;;;;;;
1764222,16777215,424,0,2377,1826,1526985,0,272,131,1949,1252,106,179;;;;;;;;;;;;;;;;
590491,1996714,541,78,1076,1180,935521,6483318,283,82,1083,619,52,179;;;;;;;;;;;;;;;;
96623,16103,95,0,283,0,126412,19911,57,0,347,544,57,179;;;;;;;;;;;;;;;;
18490,1371,181,278,273,172,90347,4502,117,238,0,136,12,179;;;;;;;;;;;;;;;;
12804,2657,148,175,403,248,51327,9672,49,74,188,180,13,179;;;;;;;;;;;;;;;;
52527,32635,147,281,331,151,92223,43056,100,168,466,342,36,179;;;;;;;;;;;;;;;;
18786,9326,147,181,145,0,75511,34316,92,61,0,0,15,179;;;;;;;;;;;;;;;;
964723,215163,8251,3171,26601,6812,2071550,358115,8751,2955,26974,7527,56,179;;;;;;;;;;;;;;;;
205052,8721,626,203,1051,0,268805,11181,275,204,704,188,58,179;;;;;;;;;;;;;;;;
22924,1946,116,183,87,189,75072,5373,6,175,0,216,17,180;;;;;;;;;;;;;;;;
104694,8926,440,293,463,0,168963,16366,213,124,333,121,42,180;;;;;;;;;;;;;;;;
64755,10689,75,249,334,469,129123,17063,0,164,133,413,35,180;;;;;;;;;;;;;;;;
12139,791,217,212,323,138,55785,3917,136,183,118,149,12,180;;;;;;;;;;;;;;;;
27839,4373,147,183,644,257,54457,8468,56,121,475,307,29,180;;;;;;;;;;;;;;;;
12359,1867,141,209,115,134,59411,7372,33,261,0,148,12,180;;;;;;;;;;;;;;;;
39566,4198,236,240,361,12,74836,7770,184,296,495,44,32,181;;;;;;;;;;;;;;;;
355627,29336,0,516,353,75,564613,45442,201,276,340,483,64,181;;;;;;;;;;;;;;;;
15977,2019,0,206,349,46,56203,5916,0,99,82,44,15,181;;;;;;;;;;;;;;;;
15676,2490,108,156,416,0,58044,10376,0,121,616,0,15,181;;;;;;;;;;;;;;;;
17324,2728,220,153,295,135,70951,8003,131,40,198,44,14,181;;;;;;;;;;;;;;;;
14329,2746,68,165,355,55,62806,8120,0,46,232,0,12,182;;;;;;;;;;;;;;;;
16253,1500,303,151,140,216,76279,5218,279,26,0,239,12,182;;;;;;;;;;;;;;;;
15469,1438,132,137,225,183,59473,4909,69,27,0,265,15,182;;;;;;;;;;;;;;;;
546298,117256,6243,2316,18392,5498,984283,198976,6306,2349,19591,4131,57,182;;;;;;;;;;;;;;;;
648809,108067,6545,2313,24086,9078,1106806,183709,6490,2432,26022,11481,51,182;;;;;;;;;;;;;;;;
95229,9940,269,72,942,407,189838,18335,223,52,929,600,35,182;;;;;;;;;;;;;;;;
110447,15233,495,377,516,0,130403,19421,219,244,583,152,53,182;;;;;;;;;;;;;;;;
160218,7323,96,353,50,492,195103,9249,82,220,187,474,47,183;;;;;;;;;;;;;;;;
48286,3575,148,34,97,109,149184,8399,77,0,235,288,21,183;;;;;;;;;;;;;;;;
232716,589036,489,127,463,409,240418,775061,255,114,325,513,60,183;;;;;;;;;;;;;;;;
14974,2773,63,195,461,0,61789,9109,0,182,460,0,14,183;;;;;;;;;;;;;;;;
63164,7050,251,130,234,0,125126,13063,98,84,299,433,35,183;;;;;;;;;;;;;;;;
20903,1696,117,198,178,206,91606,5553,33,104,149,221,14,183;;;;;;;;;;;;;;;;
16183,4802,247,37,118,78,63241,13138,156,0,0,220,15,183;;;;;;;;;;;;;;;;
2277159,16258318,980,43,3534,2466,1535032,10426370,405,187,2247,1089,119,183;;;;;;;;;;;;;;;;
36544,3835,203,309,283,64,77772,7532,91,220,230,112,20,183;;;;;;;;;;;;;;;;
84243,7179,209,10,577,166,183981,13848,221,0,791,319,28,184;;;;;;;;;;;;;;;;
222892,82216,0,290,676,273,244040,89631,80,204,433,450,69,184;;;;;;;;;;;;;;;;
14038,170,194,121,414,0,54844,1261,83,0,401,0,14,184;;;;;;;;;;;;;;;;
214067,27330,438,89,554,87,286030,38618,234,126,352,62,50,184;;;;;;;;;;;;;;;;
1746747,80233,824,698,1147,1102,1189382,55231,243,241,675,745,131,185;;;;;;;;;;;;;;;;
1137400,16777215,0,0,2139,657,795253,10514321,131,0,1647,612,98,185;;;;;;;;;;;;;;;;
209009,21317,110,190,588,339,324701,34335,79,93,747,406,40,185;;;;;;;;;;;;;;;;
68289,27386,0,253,145,0,138029,47391,0,192,160,52,34,186;;;;;;;;;;;;;;;;
480214,16621,879,0,300,0,414874,12451,338,69,379,345,90,186;;;;;;;;;;;;;;;;
108719,40303,351,257,1386,274,168398,58254,186,160,823,412,53,186;;;;;;;;;;;;;;;;
100943,4852,129,151,627,145,132804,5666,112,184,623,364,56,186;;;;;;;;;;;;;;;;
139232,18442,346,0,555,404,175283,23464,200,39,588,455,58,186;;;;;;;;;;;;;;;;
623925,56330,5284,2206,5464,0,1242268,92573,5477,2471,4903,316,52,186;;;;;;;;;;;;;;;;
20791,3849,144,210,626,424,92079,12387,23,109,1086,615,14,186;;;;;;;;;;;;;;;;
15621,2300,29,56,463,453,69810,10490,0,0,1098,712,13,186;;;;;;;;;;;;;;;;
132729,7662,272,165,965,0,155716,6983,176,103,733,86,64,187;;;;;;;;;;;;;;;;
36578,18246,232,374,547,0,62783,29327,123,175,642,165,39,187;;;;;;;;;;;;;;;;
13864,2010,74,151,366,146,67609,7516,0,120,167,121,12,187;;;;;;;;;;;;;;;;
163010,51044,142,0,478,489,211488,62855,67,35,286,573,58,187;;;;;;;;;;;;;;;;
14889,6961,175,153,349,67,60549,28335,85,62,178,0,14,187;;;;;;;;;;;;;;;;
60762,96398,119,227,813,78,84948,132847,131,98,663,275,43,187;;;;;;;;;;;;;;;;
23857,31256,217,159,442,364,73480,88182,143,106,302,427,18,187;;;;;;;;;;;;;;;;
24408,15131,184,209,660,27,74485,44073,56,119,619,0,19,187;;;;;;;;;;;;;;;;
18952,4329,235,146,294,83,89235,18451,189,41,136,358,14,187;;;;;;;;;;;;;;;;
33507,15898,194,215,400,140,92634,38691,103,89,337,334,20,187;;;;;;;;;;;;;;;;
103776,58177,168,103,341,822,112957,47013,191,109,681,955,74,187;;;;;;;;;;;;;;;;
38060,11354,138,204,538,138,74807,21803,93,97,612,338,33,187;;;;;;;;;;;;;;;;
22778,2845,208,213,380,211,73069,7649,128,119,329,382,18,187;;;;;;;;;;;;;;;;
15671,859,65,140,679,0,67959,3128,0,20,651,0,12,187;;;;;;;;;;;;;;;;
15750,1976,56,84,374,30,85943,7548,0,0,274,0,12,187;;;;;;;;;;;;;;;;
29303,8707,31,154,117,78,100908,20114,27,96,0,20,19,187;;;;;;;;;;;;;;;;
146697,21116,263,59,0,0,142020,23455,160,127,43,110,71,187;;;;;;;;;;;;;;;;
45930,5447,181,28,89,790,99296,8227,148,38,0,896,26,187;;;;;;;;;;;;;;;;
49656,10291,101,0,147,566,118852,14287,96,0,317,641,35,187;;;;;;;;;;;;;;;;
20513,1196,153,92,334,126,109812,5491,77,0,103,77,13,187;;;;;;;;;;;;;;;;
445316,52291,407,207,491,0,590024,68223,250,147,670,424,55,188;;;;;;;;;;;;;;;;
28704,7902,233,254,255,52,98682,20173,183,237,213,100,19,188;;;;;;;;;;;;;;;;
302172,10809,721,283,693,336,299029,8766,342,109,582,365,70,188;;;;;;;;;;;;;;;;
20694,465,126,196,325,389,89492,2004,8,77,135,575,14,188;;;;;;;;;;;;;;;;
80433,15987,264,328,112,284,151413,32758,115,241,149,605,31,188;;;;;;;;;;;;;;;;
243282,18554,235,293,1056,168,408852,27432,216,91,587,213,49,188;;;;;;;;;;;;;;;;
64366,3862,119,143,555,296,174282,8583,43,51,476,466,30,188;;;;;;;;;;;;;;;;
18811,4024,199,122,508,71,55876,11492,100,0,277,30,17,188;;;;;;;;;;;;;;;;
52395,7110,0,122,632,274,78426,8088,51,94,520,387,40,189;;;;;;;;;;;;;;;;
13802,6230,327,278,209,71,57410,19110,248,214,121,11,12,189;;;;;;;;;;;;;;;;
17532,4023,239,89,345,9,81747,12238,172,0,181,36,13,189;;;;;;;;;;;;;;;;
834273,190684,11190,3781,33782,9672,1147997,273213,9422,3394,34168,8424,63,189;;;;;;;;;;;;;;;;
87618,13342,19,284,593,637,171348,25217,7,195,522,559,33,189;;;;;;;;;;;;;;;;
51523,4044,172,169,450,58,129270,8063,74,93,652,211,36,189;;;;;;;;;;;;;;;;
29187,3326,214,45,201,174,104512,8233,148,0,220,126,19,189;;;;;;;;;;;;;;;;
379396,19220,52,99,554,128,813391,36613,0,182,415,156,39,190;;;;;;;;;;;;;;;;
20635,1811,116,209,339,92,66385,8158,86,122,461,111,20,190;;;;;;;;;;;;;;;;
62002,6073,71,154,516,271,184874,13668,0,97,322,651,24,190;;;;;;;;;;;;;;;;
15140,1800,93,134,416,111,63318,6185,0,23,328,64,14,190;;;;;;;;;;;;;;;;
141672,6468,186,163,0,574,246127,11756,57,106,197,874,46,190;;;;;;;;;;;;;;;;
36616,1781,61,177,514,472,74336,3753,86,98,439,356,36,190;;;;;;;;;;;;;;;;
40940,8400,49,263,654,365,100430,17786,74,165,620,519,26,190;;;;;;;;;;;;;;;;
226413,18525,81,213,654,3484,329578,28361,5,145,392,3587,55,190;;;;;;;;;;;;;;;;
11628,0,202,174,78,268,52008,886,122,101,0,269,12,190;;;;;;;;;;;;;;;;
38886,4419,157,192,317,41,87095,9199,45,127,253,226,31,190;;;;;;;;;;;;;;;;
15688,2607,172,90,309,84,65027,8877,214,0,213,16,14,191;;;;;;;;;;;;;;;;
17073,1593,84,181,241,146,61512,4689,0,86,41,210,14,191;;;;;;;;;;;;;;;;
83930,6263,556,0,0,223,91019,7059,289,23,117,322,55,191;;;;;;;;;;;;;;;;
17420,2750,156,196,413,6,50320,8051,114,142,284,0,18,191;;;;;;;;;;;;;;;;
33405,3353,81,228,355,6,128236,10886,26,132,387,0,18,191;;;;;;;;;;;;;;;;
17069,1470,163,101,336,0,64302,5191,55,0,340,207,15,192;;;;;;;;;;;;;;;;
43676,17287,169,184,1053,236,78705,28747,48,89,871,319,36,192;;;;;;;;;;;;;;;;
18418,2610,200,198,364,0,77832,7691,111,85,296,8,14,192;;;;;;;;;;;;;;;;
14791,782,65,121,608,237,52347,2380,0,23,931,357,15,192;;;;;;;;;;;;;;;;
136104,17793,255,253,120,0,157033,24128,157,122,324,76,57,192;;;;;;;;;;;;;;;;
68002,7820,0,256,98,0,122971,10090,13,137,257,251,39,192;;;;;;;;;;;;;;;;
22797,1490,181,151,313,61,86426,4763,117,70,95,501,16,193;;;;;;;;;;;;;;;;
258322,7290,0,272,0,449,233688,6308,65,221,239,314,82,193;;;;;;;;;;;;;;;;
560020,56308,495,153,1054,0,513239,59692,193,106,465,199,76,193;;;;;;;;;;;;;;;;
724433,248982,7011,2286,16276,3792,1392276,421223,7209,2455,18519,4665,51,193;;;;;;;;;;;;;;;;
40433,4327,0,89,222,381,90112,6427,0,103,187,317,32,193;;;;;;;;;;;;;;;;
55474,4496,133,106,186,436,119408,8359,50,174,92,335,34,193;;;;;;;;;;;;;;;;
13194,835,144,198,389,47,55526,4005,21,90,262,14,13,193;;;;;;;;;;;;;;;;
26669,2728,276,19,493,378,63348,5737,120,0,142,733,17,193;;;;;;;;;;;;;;;;
1676084,13360445,343,169,2413,1877,1424087,10688332,400,167,1286,1258,84,193;;;;;;;;;;;;;;;;
78566,5598,288,225,399,177,173655,10735,219,200,292,440,27,193;;;;;;;;;;;;;;;;
84021,27710,398,427,67,330,149950,49300,208,224,122,438,39,193;;;;;;;;;;;;;;;;
146048,85136,510,0,701,202,183837,103507,286,0,396,332,59,193;;;;;;;;;;;;;;;;
13187,1442,215,178,154,213,53099,4658,156,64,0,152,13,194;;;;;;;;;;;;;;;;
100000,21968,120,0,550,0,183360,41016,138,89,354,0,41,194;;;;;;;;;;;;;;;;
19876,4205,132,154,142,0,65700,11977,54,104,284,166,16,194;;;;;;;;;;;;;;;;
226106,49561,273,124,743,294,424623,89489,247,46,345,361,46,194;;;;;;;;;;;;;;;;
4580748,16777215,0,749,5997,2720,1424650,10423534,183,182,2730,1527,240,194;;;;;;;;;;;;;;;;
18413,3868,232,175,516,97,55676,10200,142,85,618,325,16,194;;;;;;;;;;;;;;;;
169703,16509,247,96,496,0,347484,26866,157,76,295,87,42,194;;;;;;;;;;;;;;;;
14117,3466,254,154,427,21,55920,12117,187,125,313,149,14,194;;;;;;;;;;;;;;;;
69648,19348,309,130,0,270,128346,37694,197,173,0,661,32,194;;;;;;;;;;;;;;;;
2684141,16777215,0,1372,1972,2403,1348569,0,171,263,813,1335,202,194;;;;;;;;;;;;;;;;
312232,71069,577,369,766,7,606532,119064,359,203,550,91,55,194;;;;;;;;;;;;;;;;
907912,97598,8834,3772,33817,11423,1809591,158547,9104,4002,35737,13626,56,194;;;;;;;;;;;;;;;;
79561,7646,136,0,298,595,140220,14054,163,0,189,873,34,194;;;;;;;;;;;;;;;;
13569,1728,159,284,284,0,52986,5799,58,217,412,0,13,195;;;;;;;;;;;;;;;;
39378,11292,331,0,305,168,89670,19855,273,0,470,213,32,195;;;;;;;;;;;;;;;;
58622,4677,83,306,359,250,104360,8969,28,211,507,297,34,195;;;;;;;;;;;;;;;;
53285,3193,248,342,148,117,120697,4968,184,273,248,289,34,195;;;;;;;;;;;;;;;;
13947,3110,211,122,51,243,50581,9147,155,0,0,161,14,195;;;;;;;;;;;;;;;;
918600,3547203,181,240,1054,757,819155,4717627,149,140,822,644,81,195;;;;;;;;;;;;;;;;
735211,49500,458,1006,737,500,405519,22321,194,238,455,536,155,195;;;;;;;;;;;;;;;;
44993,9036,81,148,444,211,88831,18387,0,132,599,139,31,195;;;;;;;;;;;;;;;;
56697,16559,25,233,275,0,129112,25664,26,119,167,209,31,195;;;;;;;;;;;;;;;;
1176123,6365471,361,427,1959,870,908926,8915753,299,185,1003,608,84,195;;;;;;;;;;;;;;;;
1041971,116980,785,181,685,1278,1258024,157637,428,54,239,1208,70,195;;;;;;;;;;;;;;;;
17338,975,99,112,391,226,73765,3291,0,36,328,237,14,195;;;;;;;;;;;;;;;;
14165,3589,171,78,436,169,50165,12845,133,0,267,390,14,195;;;;;;;;;;;;;;;;
192957,25064,89,21,320,390,153232,21779,110,86,461,359,86,195;;;;;;;;;;;;;;;;
209280,360333,0,107,375,619,339793,570745,0,159,186,499,42,196;;;;;;;;;;;;;;;;
1163757,5651594,0,571,1344,707,793326,7133659,92,248,1023,900,87,196;;;;;;;;;;;;;;;;
75011,11607,4,0,513,78,139145,19408,98,0,487,286,35,196;;;;;;;;;;;;;;;;
1322539,16777215,1029,49,3729,429,631385,10529720,368,137,1820,867,175,196;;;;;;;;;;;;;;;;
46336,11956,279,71,533,450,91905,19965,257,53,310,383,37,196;;;;;;;;;;;;;;;;
61210,24037,55,0,842,233,135108,46223,59,0,732,412,35,196;;;;;;;;;;;;;;;;
48059,12802,49,22,28,412,76556,24134,0,46,98,402,34,196;;;;;;;;;;;;;;;;
1058777,15247970,677,336,1339,75,643910,10546513,442,228,870,221,115,196;;;;;;;;;;;;;;;;
70622,15764,81,233,350,279,118252,27480,0,153,485,336,33,196;;;;;;;;;;;;;;;;
22842,3825,202,98,256,86,90449,9991,154,0,317,171,17,196;;;;;;;;;;;;;;;;
13225,3815,133,116,206,294,61473,14083,91,37,0,469,12,196;;;;;;;;;;;;;;;;
14021,2578,275,101,275,72,60013,10912,244,0,0,342,14,196;;;;;;;;;;;;;;;;
25817,5857,174,81,917,77,71788,12773,145,85,661,154,19,196;;;;;;;;;;;;;;;;
1437581,8936909,543,371,1638,1159,709153,8857631,181,131,1186,713,120,196;;;;;;;;;;;;;;;;
20814,5500,141,156,137,89,72728,14377,54,117,234,58,17,196;;;;;;;;;;;;;;;;
19919,1174,154,130,361,372,85451,3469,122,35,243,474,15,196;;;;;;;;;;;;;;;;
12615,1036,139,180,3,84,51085,3794,43,48,0,159,13,196;;;;;;;;;;;;;;;;
12755,1594,226,124,259,26,50477,6308,148,8,153,43,14,196;;;;;;;;;;;;;;;;
81474,6484,23,143,705,108,173770,12947,0,87,674,125,35,196;;;;;;;;;;;;;;;;
1239263,10180287,952,98,1958,280,717169,10625521,298,113,1084,404,112,196;;;;;;;;;;;;;;;;
145863,7430,145,36,1311,0,304889,13417,88,0,743,134,36,197;;;;;;;;;;;;;;;;
236073,48687,333,154,206,137,493040,85275,295,102,255,332,43,197;;;;;;;;;;;;;;;;
159959,12981,221,24,179,538,164480,11952,104,72,276,408,67,197;;;;;;;;;;;;;;;;
14128,730,232,180,327,336,62881,2523,197,53,140,812,12,197;;;;;;;;;;;;;;;;
17765,4330,124,231,505,75,64589,13579,0,130,613,0,15,197;;;;;;;;;;;;;;;;
17428,1451,251,171,267,94,61260,4850,175,71,145,139,16,197;;;;;;;;;;;;;;;;
16287,1300,238,92,217,67,57697,3789,168,19,0,336,16,197;;;;;;;;;;;;;;;;
24983,5207,148,177,539,299,78371,14084,69,165,471,432,17,197;;;;;;;;;;;;;;;;
38528,8239,127,83,212,0,92561,17446,28,0,303,10,28,197;;;;;;;;;;;;;;;;
262816,19990,0,122,363,0,490678,34159,0,168,325,190,48,197;;;;;;;;;;;;;;;;
61839,4692,200,148,532,162,140457,8021,122,102,653,330,38,197;;;;;;;;;;;;;;;;
14991,3553,223,156,305,146,51256,13911,123,68,140,257,16,197;;;;;;;;;;;;;;;;
686068,3600283,435,0,428,7,532542,4334790,247,125,534,433,84,197;;;;;;;;;;;;;;;;
325415,70760,572,278,591,0,520979,109261,524,173,537,0,44,197;;;;;;;;;;;;;;;;
304249,29618,433,107,402,372,496951,45436,270,122,471,493,51,197;;;;;;;;;;;;;;;;
202139,22673,0,234,289,175,281210,30813,49,111,154,332,54,197;;;;;;;;;;;;;;;;
17199,270,92,230,467,33,62235,1158,0,163,537,0,16,197;;;;;;;;;;;;;;;;
17414,793,84,309,377,0,51787,2404,0,278,130,0,17,197;;;;;;;;;;;;;;;;
107656,5407,224,272,611,149,149469,7108,203,154,403,522,59,197;;;;;;;;;;;;;;;;
45119,8664,272,378,446,0,90513,11685,123,309,405,11,34,197;;;;;;;;;;;;;;;;
15859,1928,89,33,291,280,74933,6161,0,0,73,250,12,197;;;;;;;;;;;;;;;;
34086,3469,193,119,65,364,107199,8616,94,75,0,303,19,198;;;;;;;;;;;;;;;;
32468,3219,63,133,245,220,101452,8353,0,49,158,435,19,198;;;;;;;;;;;;;;;;
41327,11731,194,98,195,233,139014,30690,78,54,285,293,19,198;;;;;;;;;;;;;;;;
15826,2431,181,83,546,500,51522,6913,111,0,444,522,16,198;;;;;;;;;;;;;;;;
238375,11352,127,295,372,183,288828,10989,74,125,436,314,58,198;;;;;;;;;;;;;;;;
39433,8768,163,237,129,104,132895,18982,78,113,232,205,23,198;;;;;;;;;;;;;;;;
17519,9057,212,112,283,134,90239,34804,128,0,89,17,12,198;;;;;;;;;;;;;;;;
17290,5624,154,156,469,367,79751,27580,24,25,364,435,14,198;;;;;;;;;;;;;;;;
24696,13574,154,148,658,202,79328,37503,107,19,662,236,16,198;;;;;;;;;;;;;;;;
15503,7885,223,151,386,95,53992,31729,136,141,305,80,14,198;;;;;;;;;;;;;;;;
474575,20021,89,253,696,155,759878,27681,108,162,680,220,63,198;;;;;;;;;;;;;;;;
52147,6306,169,136,765,6,92586,12017,103,83,582,8,33,199;;;;;;;;;;;;;;;;
19266,2130,53,203,305,37,57806,6256,0,149,474,90,18,199;;;;;;;;;;;;;;;;
18843,2381,188,156,147,185,60952,7016,102,43,0,302,17,199;;;;;;;;;;;;;;;;
15556,1153,127,119,107,151,70291,3646,41,40,0,173,13,199;;;;;;;;;;;;;;;;
50357,4942,4,256,241,214,80704,9684,0,200,136,659,34,199;;;;;;;;;;;;;;;;
36755,4346,23,104,774,291,93642,9407,0,109,599,297,30,199;;;;;;;;;;;;;;;;
27650,6163,78,101,463,427,100794,13718,46,0,261,837,19,199;;;;;;;;;;;;;;;;
21999,1807,120,43,361,55,71518,5593,101,23,428,395,17,199;;;;;;;;;;;;;;;;
764567,63080,96,249,405,697,710931,62157,111,227,537,581,86,199;;;;;;;;;;;;;;;;
52524,13822,248,280,405,18,99336,21271,169,246,335,363,36,199;;;;;;;;;;;;;;;;
180060,35596,555,495,292,381,180997,28425,265,207,364,474,74,199;;;;;;;;;;;;;;;;
18324,2145,230,204,306,43,59765,5945,165,175,275,311,16,200;;;;;;;;;;;;;;;;
164987,7501,230,65,0,302,402170,15437,224,87,0,189,30,200;;;;;;;;;;;;;;;;
72793,12240,285,177,400,197,115589,17969,179,98,438,140,38,200;;;;;;;;;;;;;;;;
30792,1952,174,203,441,168,80611,3247,111,170,289,929,31,200;;;;;;;;;;;;;;;;
18289,6824,183,57,189,104,90716,23998,133,0,0,238,13,200;;;;;;;;;;;;;;;;
27313,2341,114,228,341,86,108139,6388,77,157,105,290,18,200;;;;;;;;;;;;;;;;
23671,8516,270,227,140,84,82225,23031,210,145,0,301,18,200;;;;;;;;;;;;;;;;
15373,1963,199,165,261,40,60744,6450,93,112,135,75,15,201;;;;;;;;;;;;;;;;
33492,4052,105,292,241,125,99791,10599,19,231,160,103,20,201;;;;;;;;;;;;;;;;
15934,3962,96,168,107,142,65911,10202,0,34,0,358,14,201;;;;;;;;;;;;;;;;
17087,2534,162,86,62,429,56349,8804,168,0,0,410,15,201;;;;;;;;;;;;;;;;
13119,6643,171,186,308,267,50502,23031,46,95,43,196,13,201;;;;;;;;;;;;;;;;
19380,961,136,124,364,101,88913,3270,38,14,231,0,14,202;;;;;;;;;;;;;;;;
57968,6245,197,107,489,24,96504,12221,169,63,249,87,33,202;;;;;;;;;;;;;;;;
68415,5813,19,203,618,330,125832,10360,0,96,657,244,34,203;;;;;;;;;;;;;;;;
120661,9703,251,175,449,0,254801,18147,139,69,339,151,33,203;;;;;;;;;;;;;;;;
5053186,16665975,11977,3292,4498,245,5400807,8579795,7865,1858,2392,2276,100,203;;;;;;;;;;;;;;;;
3640687,414974,424,262,3588,390,6060580,507765,232,190,2464,544,48,203;;;;;;;;;;;;;;;;
8629273,5298776,849,343,5495,0,10976332,10246122,492,174,2411,404,56,203;;;;;;;;;;;;;;;;
16777215,16777215,1438,0,41231,8092,10804861,10372119,376,141,3883,1749,376,203;;;;;;;;;;;;;;;;
1409314,6564106,28,15,2169,453,3707802,10371614,39,0,1735,624,27,203;;;;;;;;;;;;;;;;
2056344,0,0,0,0,302,3777968,0,71,0,330,1017,42,203;;;;;;;;;;;;;;;;
459533,0,0,42,774,297,1909984,0,0,0,1074,378,18,203;;;;;;;;;;;;;;;;
314283,0,129,36,849,0,1952177,0,0,0,1357,0,12,203;;;;;;;;;;;;;;;;
180700,0,14,0,1497,270,726272,0,0,0,1692,614,17,203;;;;;;;;;;;;;;;;
481805,0,0,0,1022,720,1751483,0,0,0,1181,815,19,203;;;;;;;;;;;;;;;;
16777215,0,0,0,17982,4010,6874337,0,104,0,3394,952,261,203;;;;;;;;;;;;;;;;
229683,0,105,68,457,358,1438552,0,0,0,599,553,12,203;;;;;;;;;;;;;;;;
5063057,0,5230,1239,0,0,7846816,0,10573,3056,2381,411,73,203;;;;;;;;;;;;;;;;
2923981,0,0,0,0,0,196674,0,16,138,0,38,1001,203;;;;;;;;;;;;;;;;
106636,9651,110,119,325,276,177996,16857,73,74,348,419,45,204;;;;;;;;;;;;;;;;
5006767,16777215,15636,4196,5885,807,5378116,9867602,7643,2069,3449,1150,111,204;;;;;;;;;;;;;;;;
132205,0,171,0,2717,1082,621688,0,69,0,3904,1634,17,204;;;;;;;;;;;;;;;;
1227773,0,300,409,0,146,3246911,0,797,219,255,356,40,204;;;;;;;;;;;;;;;;
16777215,16777215,1043,0,35279,9174,10271822,10372503,331,175,3911,1377,319,204;;;;;;;;;;;;;;;;
3566904,9238312,171,0,2912,804,6145929,10371549,65,14,2164,1153,38,204;;;;;;;;;;;;;;;;
826864,6077778,180,130,1850,705,2634366,10371450,53,50,1886,833,25,204;;;;;;;;;;;;;;;;
1364075,6814664,0,0,1510,387,3209838,10656206,0,0,1654,403,28,204;;;;;;;;;;;;;;;;
376864,1930566,0,0,843,646,1620006,9289707,0,0,1302,925,19,204;;;;;;;;;;;;;;;;
1252826,0,0,0,2513,438,2665404,0,0,0,1588,690,34,204;;;;;;;;;;;;;;;;
268186,0,19,39,176,216,1146941,0,0,0,761,206,17,204;;;;;;;;;;;;;;;;
241790,0,77,163,0,0,1336174,0,0,233,0,37,15,204;;;;;;;;;;;;;;;;
372112,3458246,4,68,0,0,1807444,9903496,223,31,0,0,18,204;;;;;;;;;;;;;;;;
1187576,0,0,0,995,392,2374500,0,0,0,1602,563,35,204;;;;;;;;;;;;;;;;
751666,0,0,0,1319,693,1686108,0,0,0,1057,780,35,204;;;;;;;;;;;;;;;;
143515,0,0,0,676,0,803285,0,0,0,967,0,15,204;;;;;;;;;;;;;;;;
189395,0,0,0,3008,1105,120557,0,0,0,1722,1638,100,204;;;;;;;;;;;;;;;;
10580575,0,0,0,0,0,6417198,0,4706,1296,914,2364,1001,204;;;;;;;;;;;;;;;;
2982380,13220079,27731,8355,9453,2130,4097840,10489268,14799,4378,5476,2194,56,204;;;;;;;;;;;;;;;;
14863884,16777215,14539,4392,646,5657,9604575,10396427,11946,3600,3330,1720,183,204;;;;;;;;;;;;;;;;
2967672,16777215,16645,5363,0,0,3799924,10398099,11970,3571,2131,713,80,204;;;;;;;;;;;;;;;;
1108589,0,0,0,0,1606,59922,0,166,129,447,696,1001,204;;;;;;;;;;;;;;;;
381639,0,772,0,0,191,53642,0,218,0,590,537,394,204;;;;;;;;;;;;;;;;
725252,0,630,0,0,1129,53328,0,348,152,603,617,733,204;;;;;;;;;;;;;;;;
17236,2450,0,80,327,458,60061,6142,0,0,140,491,15,204;;;;;;;;;;;;;;;;
841527,102713,10478,3531,24208,5322,1380792,156828,9752,3185,25997,6071,49,204;;;;;;;;;;;;;;;;
24290,2353,69,166,217,463,69419,5980,28,104,97,405,21,204;;;;;;;;;;;;;;;;
954450,199545,10806,4642,40161,13888,1433874,298187,9955,4060,37969,15984,57,205;;;;;;;;;;;;;;;;
14285,97,113,104,294,196,53569,649,11,0,302,400,14,205;;;;;;;;;;;;;;;;
175202,6812,31,95,702,0,145005,5994,90,96,451,345,82,205;;;;;;;;;;;;;;;;
31981,14941,160,198,0,60,76527,27999,90,103,201,150,32,205;;;;;;;;;;;;;;;;
